Sp,Teff,Msun,Rsun,g-r,r-i,i-z,z-J,J-H,H-K,K-W1
B1,26000,11.0,5.72,-0.34743499999999994,-0.4298350000000002,-0.13832500000000048,0.07045500000000082,-0.14800000000000013,-0.052000000000000046,999.0
B2,20600,7.3,3.85,-0.2892020000000002,-0.3685059999999998,-0.16639000000000026,0.23179800000000017,-0.11299999999999999,-0.026999999999999913,0.03600000000000003
B3,17000,5.4,3.48,-0.2587799999999999,-0.346696,-0.16602400000000006,0.28935999999999995,-0.09799999999999998,-0.02200000000000002,0.03600000000000003
B4,16700,5.0,3.41,-0.24619199999999997,-0.337564,-0.16565200000000002,0.305458,-0.09199999999999997,-0.018000000000000016,0.03600000000000003
B5,15700,4.6,3.4,-0.23758999999999997,-0.33122500000000005,-0.16565499999999983,0.32618999999999976,-0.08899999999999997,-0.02100000000000002,0.03600000000000003
B6,14500,4.0,2.95,-0.221646,-0.3200530000000001,-0.16415499999999994,0.347654,-0.08099999999999999,-0.009000000000000008,0.035
B7,14000,3.9,2.99,-0.211154,-0.312961,-0.16491100000000003,0.368386,-0.077,-0.0030000000000000027,0.035
B8,12500,3.4,2.91,-0.191854,-0.29899600000000004,-0.16303600000000001,0.395216,-0.067,0.006999999999999999,0.034
B9,10700,2.8,2.28,-0.15262399999999998,-0.27332499999999993,-0.15702700000000003,0.44887599999999983,-0.050000000000000044,0.02000000000000013,0.03200000000000003
A0,9700,2.3,2.09,-0.0872670000000002,-0.23847399999999985,-0.14594200000000024,0.5116830000000003,-0.03200000000000003,0.03200000000000003,0.030000000000000027
A1,9200,2.15,2.0,-0.046983,-0.2171019999999999,-0.13880200000000031,0.5199770000000004,-0.02400000000000002,0.03400000000000003,0.030000000000000027
A2,8840,2.05,1.97,-0.010593999999999992,-0.19288899999999987,-0.1265829999999999,0.5366859999999998,-0.010000000000000009,0.040000000000000036,0.028999999999999915
A3,8550,2.0,2.01,0.005349999999999966,-0.18397599999999992,-0.12282400000000004,0.5581499999999999,-0.0020000000000000018,0.03200000000000003,0.028999999999999915
A4,8270,1.9,1.94,0.057373999999999814,-0.155416,-0.10703200000000002,0.5832740000000001,0.02200000000000002,0.038000000000000034,0.028999999999999915
A5,8080,1.85,1.94,0.07803699999999991,-0.144196,-0.10082799999999992,0.5977870000000001,0.030999999999999917,0.039000000000000146,0.028999999999999915
A6,8000,1.83,1.93,0.08800200000000014,-0.1383430000000001,-0.09876099999999965,0.6062019999999997,0.03600000000000003,0.04400000000000004,0.028999999999999915
A7,7800,1.76,1.86,0.13006099999999998,-0.1156360000000003,-0.08503599999999967,0.6329109999999998,0.05499999999999994,0.04499999999999993,0.028999999999999915
A8,7500,1.67,1.81,0.17212000000000005,-0.09217600000000026,-0.07206399999999968,0.6596200000000001,0.07499999999999996,0.04500000000000015,0.028000000000000025
A9,7440,1.67,1.84,0.17746899999999988,-0.0891160000000002,-0.07037200000000032,0.6626690000000004,0.07800000000000007,0.04200000000000004,0.028000000000000025
F0,7220,1.59,1.79,0.21889799999999981,-0.06640899999999972,-0.056647000000000336,0.6993780000000003,0.09800000000000009,0.041999999999999815,0.028000000000000025
F1,7030,1.5,1.64,0.26168999999999976,-0.04343500000000011,-0.041605000000000114,0.6937700000000007,0.11899999999999977,0.051000000000000156,0.028000000000000025
F2,6810,1.44,1.61,0.3037489999999998,-0.019222000000000072,-0.02938599999999969,0.7104790000000003,0.14000000000000012,0.04999999999999982,0.028000000000000025
F3,6720,1.43,1.6,0.3197960000000002,-0.010795000000000332,-0.023556999999999828,0.7196260000000003,0.1469999999999998,0.052999999999999936,0.028000000000000025
F4,6640,1.39,1.53,0.3445480000000001,0.0027319999999999567,-0.0149079999999997,0.7371879999999997,0.1589999999999998,0.051000000000000156,0.028000000000000025
F5,6510,1.33,1.46,0.37265600000000054,0.017545999999999395,-0.004377999999999105,0.7401159999999996,0.17300000000000004,0.05699999999999994,0.028000000000000025
F6,6340,1.25,1.36,0.41922799999999993,0.04127299999999989,0.009910999999999781,0.7545080000000008,0.19899999999999984,0.06099999999999994,0.028000000000000025
F7,6240,1.21,1.3,0.44586999999999977,0.054046999999999734,0.019313000000000358,0.7720700000000003,0.21300000000000008,0.05699999999999994,0.027000000000000135
F8,6170,1.18,1.25,0.46579999999999977,0.06424699999999994,0.02495299999999956,0.7789000000000006,0.2250000000000001,0.0649999999999995,0.027000000000000135
F9,6040,1.14,1.23,0.4884560000000002,0.07422799999999974,0.03397999999999968,0.7910960000000009,0.2370000000000001,0.06299999999999972,0.027000000000000135
G0,5920,1.08,1.12,0.5337680000000002,0.09569600000000023,0.050527999999999906,0.8054880000000004,0.262,0.06800000000000006,0.027000000000000135
G1,5880,1.07,1.12,0.5417399999999999,0.09977600000000031,0.05278399999999994,0.8062199999999997,0.2669999999999999,0.07299999999999995,0.027000000000000135
G2,5770,1.02,1.01,0.5875790000000007,0.11947099999999988,0.06952100000000083,0.8529289999999992,0.29300000000000015,0.07699999999999951,0.028000000000000025
G3,5720,1.0,1.01,0.5981740000000002,0.12381800000000087,0.07309399999999933,0.8413439999999999,0.29899999999999993,0.07100000000000017,0.028000000000000025
G4,5680,0.99,0.986,0.6107619999999994,0.12918500000000055,0.0772309999999985,0.8474420000000018,0.30699999999999994,0.0730000000000004,0.028000000000000025
G5,5660,0.98,0.982,0.6167409999999993,0.1314920000000006,0.07967599999999919,0.840491000000001,0.31000000000000005,0.08000000000000007,0.028000000000000025
G6,5590,0.97,0.939,0.6399239999999997,0.1412060000000004,0.08738599999999952,0.8650039999999999,0.32399999999999984,0.07600000000000007,0.028000000000000025
G7,5530,0.96,0.949,0.6492589999999998,0.14480000000000004,0.09171199999999935,0.8634190000000004,0.3290000000000002,0.08099999999999952,0.028000000000000025
G8,5490,0.94,0.909,0.6724420000000002,0.15451399999999982,0.09942199999999968,0.8879320000000006,0.3420000000000001,0.07800000000000029,0.028000000000000025
G9,5340,0.9,0.876,0.7115689999999999,0.17088200000000064,0.1131499999999992,0.9039090000000005,0.3650000000000002,0.08499999999999952,0.028999999999999915
K0,5280,0.87,0.817,0.7507989999999998,0.1860109999999997,0.12970099999999984,0.9175690000000003,0.387,0.09299999999999997,0.029999999999999805
K1,5170,0.85,0.814,0.7805910000000003,0.19878500000000088,0.13910299999999864,0.8351310000000005,0.40200000000000014,0.09799999999999942,0.029999999999999805
K2,5040,0.82,0.763,0.8315609999999998,0.22185500000000058,0.1635529999999994,0.9656210000000005,0.4320000000000004,0.09799999999999986,0.030999999999999694
K3,4840,0.78,0.729,0.9344520000000003,0.26644100000000037,0.20925500000000063,1.0235519999999996,0.4900000000000002,0.10999999999999943,0.03399999999999981
K4,4620,0.73,0.689,1.0741199999999997,0.34403000000000095,0.2837299999999985,1.051120000000001,0.5440000000000005,0.12600000000000033,0.0389999999999997
K5,4410,0.71,0.698,1.1386049999999992,0.3839060000000014,0.3151339999999978,1.066855000000002,0.5679999999999996,0.13199999999999967,0.041999999999999815
