#i, z in AB HSC system, YJHK in UKIDSS (vega), W1W2 in WISE (vega)
#M5,0.619684110059,0.993484370424,0.55,0.45,0.32,0.11,0.17
#M6,1.04439683725,1.12818942622,0.67,0.53,0.39,0.22,0.21
SpT,i-z,z-Y,Y-J,J-H,H-K,K-W1,W1-W2
M7,0.974767096391,1.07705228932,0.68,0.54,0.38,0.17,0.2
M8,1.22023924844,1.22169970395,0.79,0.56,0.44,0.19,0.22
M9,1.35574908137,1.32502900205,0.87,0.59,0.49,0.22,0.23
L0,1.46726140322,1.39817622011,1.04,0.63,0.54,0.29,0.27
L1,1.47464990018,1.41839774227,1.11,0.67,0.58,0.33,0.28
L2,1.48940977243,1.43884510942,1.18,0.73,0.63,0.4,0.28
L3,1.5335524157,1.46022152451,1.23,0.79,0.67,0.48,0.29
L4,1.60666690957,1.48262814228,1.27,0.86,0.71,0.56,0.3
L5,1.70086252103,1.51596180739,1.31,0.91,0.74,0.65,0.32
L6,1.8296948972,1.55094636835,1.33,0.96,0.75,0.72,0.36
L7,1.97067323519,1.59696357448,1.35,0.97,0.75,0.77,0.41
L8,2.12311266764,1.65413165916,1.21,0.96,0.71,0.79,0.48
L9,2.27278980175,1.73183882343,1.2,0.9,0.65,0.79,0.57
T0,2.41308661631,1.80966482009,1.19,0.8,0.56,0.76,0.68
T1,2.53785308285,1.91711374958,1.19,0.65,0.45,0.71,0.82
T2,2.63489758171,2.02322603716,1.18,0.46,0.31,0.65,0.99
T3,2.71160860987,2.14825481827,1.18,0.25,0.16,0.59,1.19
T4,2.76229271707,2.28167292958,1.17,0.02,0.01,0.55,1.43
T5,2.79378479915,2.41383502473,1.16,-0.19,-0.11,0.54,1.7
T6,2.81261156167,2.56514159451,1.16,-0.35,-0.19,0.59,2.02
T7,2.83138695914,2.71645504386,1.15,-0.43,-0.2,0.7,2.38
T8,2.87499646691,2.86954603246,1.15,-0.36,-0.09,0.9,2.79
q0.075,-0.268446813313,0.926894574547,0.395,0.304,0.716,1.085,0.963
q0.125,-0.313390130849,1.02988994343,0.602,0.736,1.117,1.334,0.996
q0.175,-0.193598273438,1.28836953242,0.607,0.67,0.963,1.347,0.963
q0.225,-0.147357833202,1.24251021446,0.522,0.778,0.961,1.275,0.964
q0.275,0.214914138325,1.09796722143,0.516,0.8,0.961,1.234,0.959
q0.325,0.288577898659,0.991518521845,0.509,0.782,0.941,1.275,0.963
q0.375,0.224872698123,1.0158971767,0.5,0.8,0.94,1.336,0.997
q0.425,0.0805086439286,1.10019962532,0.501,0.776,0.902,1.376,0.992
q0.475,-0.017247020626,1.20743171984,0.351,0.742,0.901,1.398,0.996
q0.525,-0.0919187710734,1.55656334445,0.104,0.729,0.869,1.479,0.975
q0.575,-0.13710478044,1.62932824388,0.03,0.755,0.853,1.512,1.039
q0.625,-0.175596104468,1.54702746534,0.087,0.732,0.915,1.553,1.037
q0.675,-0.0944721892957,1.13460495776,0.402,0.66,0.934,1.567,1.068
q0.725,-0.039263128455,1.00674821644,0.436,0.678,0.935,1.556,1.103
q0.775,0.00304129707896,0.960152758614,0.663,0.462,0.863,1.556,1.117
q0.825,-0.00371782286344,0.92924434265,0.831,0.262,0.835,1.586,1.141
q0.875,-0.0197853717665,0.914467478952,0.85,0.255,0.818,1.608,1.13
q0.925,-0.0485892498225,0.941886610027,0.821,0.214,0.868,1.543,1.204
q0.975,-0.068111637034,1.05818464126,0.742,0.193,0.842,1.525,1.2
q1.025,-0.114065460279,1.16393069063,0.393,0.413,0.823,1.492,1.227
q1.075,-0.159330115247,1.17272663425,0.18,0.59,0.78,1.508,1.274
q1.125,-0.179880052284,1.2101079971,0.105,0.637,0.808,1.479,1.275
q1.175,-0.194456147374,1.18938607261,0.127,0.604,0.766,1.472,1.327
q1.225,-0.194456147374,1.13338607261,0.205,0.662,0.663,1.499,1.315
q1.275,-0.192740456573,1.1463530151,0.194,0.813,0.482,1.436,1.363
q1.325,-0.179880052284,1.0811079971,0.262,0.797,0.398,1.443,1.353
q1.375,-0.169600974561,1.05991567758,0.341,0.762,0.378,1.428,1.365
q1.425,-0.167888593953,1.01388394304,0.426,0.704,0.344,1.348,1.365
q1.475,-0.166176441634,1.00985229948,0.44,0.685,0.339,1.334,1.375
q1.525,-0.165320451082,1.0188365118,0.467,0.661,0.36,1.249,1.371
q1.575,-0.160185706293,0.94174226291,0.452,0.645,0.341,1.277,1.377
