#i, z in AB HSC system, YJHK in UKIDSS (vega), W1W2 in WISE (vega)
#M5,0.619684110059,0.993484370424,0.55,0.45,0.32,0.11,0.17
#M6,1.04439683725,1.12818942622,0.67,0.53,0.39,0.22,0.21
SpT,i-z,z-Y,Y-J,J-H,H-K,K-W1,W1-W2
M7,0.974767096391,1.07705228932,0.68,0.54,0.38,0.17,0.2
M8,1.22023924844,1.22169970395,0.79,0.56,0.44,0.19,0.22
M9,1.35574908137,1.32502900205,0.87,0.59,0.49,0.22,0.23
L0,1.46726140322,1.39817622011,1.04,0.63,0.54,0.29,0.27
L1,1.47464990018,1.41839774227,1.11,0.67,0.58,0.33,0.28
L2,1.48940977243,1.43884510942,1.18,0.73,0.63,0.4,0.28
L3,1.5335524157,1.46022152451,1.23,0.79,0.67,0.48,0.29
L4,1.60666690957,1.48262814228,1.27,0.86,0.71,0.56,0.3
L5,1.70086252103,1.51596180739,1.31,0.91,0.74,0.65,0.32
L6,1.8296948972,1.55094636835,1.33,0.96,0.75,0.72,0.36
L7,1.97067323519,1.59696357448,1.35,0.97,0.75,0.77,0.41
L8,2.12311266764,1.65413165916,1.21,0.96,0.71,0.79,0.48
L9,2.27278980175,1.73183882343,1.2,0.9,0.65,0.79,0.57
T0,2.41308661631,1.80966482009,1.19,0.8,0.56,0.76,0.68
T1,2.53785308285,1.91711374958,1.19,0.65,0.45,0.71,0.82
T2,2.63489758171,2.02322603716,1.18,0.46,0.31,0.65,0.99
T3,2.71160860987,2.14825481827,1.18,0.25,0.16,0.59,1.19
T4,2.76229271707,2.28167292958,1.17,0.02,0.01,0.55,1.43
T5,2.79378479915,2.41383502473,1.16,-0.19,-0.11,0.54,1.7
T6,2.81261156167,2.56514159451,1.16,-0.35,-0.19,0.59,2.02
T7,2.83138695914,2.71645504386,1.15,-0.43,-0.2,0.7,2.38
T8,2.87499646691,2.86954603246,1.15,-0.36,-0.09,0.9,2.79
